title,link,tags,year,clean_title,fname,short_url,clean_short_url
Creed III,/Creed-III-Michael-B-Jordan/dp/B0B8TJ2897/ref=sr_1_1?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1,2023|PG-13|CC,2023.0,Creed_III,0_Creed_III,/Creed-III-Michael-B-Jordan/,/Creed-III-Michael-B-Jordan/
Jurassic World Dominion,/Jurassic-World-Dominion-Chris-Pratt/dp/B0B5MQDHJ9/ref=sr_1_2?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2,2022|PG-13|CC,2022.0,Jurassic_World_Dominion,1_Jurassic_World_Dominion,/Jurassic-World-Dominion-Chris-Pratt/,/Jurassic-World-Dominion-Chris-Pratt/
Air,/AIR-Matt-Damon/dp/B0B8Q3JMCG/ref=sr_1_3?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-3,2023|R|CC,2023.0,Air,2_Air,/AIR-Matt-Damon/,/AIR-Matt-Damon/
Top Gun: Maverick,/Top-Gun-Maverick-Tom-Cruise/dp/B0B215H8Y3/ref=sr_1_4?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-4,2022|PG-13|CC,2022.0,Top_Gun_Maverick,3_Top_Gun_Maverick,/Top-Gun-Maverick-Tom-Cruise/,/Top-Gun-Maverick-Tom-Cruise/
80 for Brady,/80-Brady-Lily-Tomlin/dp/B0B84Z7N5K/ref=sr_1_5?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-5,2023|PG-13|CC,2023.0,80_for_Brady,4_80_for_Brady,/80-Brady-Lily-Tomlin/,/80-Brady-Lily-Tomlin/
M3GAN,/M3GAN-Allison-Williams/dp/B0B73VBPVJ/ref=sr_1_6?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-6,2023|PG-13|CC,2023.0,M3GAN,5_M3GAN,/M3GAN-Allison-Williams/,/M3GAN-Allison-Williams/
Knock at the Cabin,/Knock-at-Cabin-Dave-Bautista/dp/B0B8TXT5D5/ref=sr_1_7?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-7,2023|R|CC,2023.0,Knock_at_the_Cabin,6_Knock_at_the_Cabin,/Knock-at-Cabin-Dave-Bautista/,/Knock-at-Cabin-Dave-Bautista/
My Fault,/My-Fault-Nicole-Wallace/dp/B0B683GB78/ref=sr_1_8?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-8,2023|CC,2023.0,My_Fault,7_My_Fault,/My-Fault-Nicole-Wallace/,/My-Fault-Nicole-Wallace/
Babylon,/Babylon-Brad-Pitt/dp/B0B67D4LSS/ref=sr_1_9?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-9,2022|R|CC,2022.0,Babylon,8_Babylon,/Babylon-Brad-Pitt/,/Babylon-Brad-Pitt/
Till,/Till-Danielle-Deadwyler/dp/B0B6YZ3SPR/ref=sr_1_10?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-10,2022|PG-13|CC,2022.0,Till,9_Till,/Till-Danielle-Deadwyler/,/Till-Danielle-Deadwyler/
The Initiated,/Initiated-Andr%C3%A9s-Parra/dp/B0B66XP572/ref=sr_1_11?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-11,2023|CC,2023.0,The_Initiated,10_The_Initiated,/Initiated-Andr%C3%A9s-Parra/,/Initiated-Andres-Parra/
Sonic the Hedgehog 2,/Sonic-Hedgehog-2-James-Marsden/dp/B09ZRK3RR1/ref=sr_1_12?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-12,2022|PG|CC,2022.0,Sonic_the_Hedgehog_2,11_Sonic_the_Hedgehog_2,/Sonic-Hedgehog-2-James-Marsden/,/Sonic-Hedgehog-2-James-Marsden/
The Portable Door,/Portable-Door-Christoph-Waltz/dp/B0BX3CP19N/ref=sr_1_13?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-13,2023|CC,2023.0,The_Portable_Door,12_The_Portable_Door,/Portable-Door-Christoph-Waltz/,/Portable-Door-Christoph-Waltz/
