title,link,tags,year,clean_title,fname,short_url,clean_short_url
Air,/AIR-Matt-Damon/dp/B0B8Q3JMCG/ref=sr_1_3?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-3,2023|R|CC,2023.0,Air,2_Air,/AIR-Matt-Damon/,/AIR-Matt-Damon/
80 for Brady,/80-Brady-Lily-Tomlin/dp/B0B84Z7N5K/ref=sr_1_5?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-5,2023|PG-13|CC,2023.0,80_for_Brady,4_80_for_Brady,/80-Brady-Lily-Tomlin/,/80-Brady-Lily-Tomlin/
Knock at the Cabin,/Knock-at-Cabin-Dave-Bautista/dp/B0B8TXT5D5/ref=sr_1_7?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-7,2023|R|CC,2023.0,Knock_at_the_Cabin,6_Knock_at_the_Cabin,/Knock-at-Cabin-Dave-Bautista/,/Knock-at-Cabin-Dave-Bautista/
Babylon,/Babylon-Brad-Pitt/dp/B0B67D4LSS/ref=sr_1_9?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-9,2022|R|CC,2022.0,Babylon,8_Babylon,/Babylon-Brad-Pitt/,/Babylon-Brad-Pitt/
Till,/Till-Danielle-Deadwyler/dp/B0B6YZ3SPR/ref=sr_1_10?qid=1692082192&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-10,2022|PG-13|CC,2022.0,Till,9_Till,/Till-Danielle-Deadwyler/,/Till-Danielle-Deadwyler/
Breakout,/Breakout-Louis-Mandylor/dp/B0B68FGC5Z/ref=sr_1_149?qid=1692082214&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-149,2023|TV-MA|CC,2023.0,Breakout,20_Breakout,/Breakout-Louis-Mandylor/,/Breakout-Louis-Mandylor/
The Wrong Path,/Wrong-Path-C-Thomas-Howell/dp/B08XJZ9DGR/ref=sr_1_1586?qid=1692082486&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1586,2021|TV-14|CC,2021.0,The_Wrong_Path,33_The_Wrong_Path,/Wrong-Path-C-Thomas-Howell/,/Wrong-Path-C-Thomas-Howell/
The Thieves Code,/Thieves-Code-Odelia-San-Diego/dp/B096ZRRGM7/ref=sr_1_1589?qid=1692082486&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1589,2021|CC,2021.0,The_Thieves_Code,36_The_Thieves_Code,/Thieves-Code-Odelia-San-Diego/,/Thieves-Code-Odelia-San-Diego/
Hoopties,/Hoopties-Chris-Abbot/dp/B0C8XP711J/ref=sr_1_1593?qid=1692082486&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1593,2023|CC,2023.0,Hoopties,40_Hoopties,/Hoopties-Chris-Abbot/,/Hoopties-Chris-Abbot/
HEIRLOOM: Guitar,/HEIRLOOM-Guitar-Rissi-Palmer/dp/B0C9TJV8D5/ref=sr_1_1595?qid=1692082486&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1595,2023|CC,2023.0,HEIRLOOM_Guitar,42_HEIRLOOM_Guitar,/HEIRLOOM-Guitar-Rissi-Palmer/,/HEIRLOOM-Guitar-Rissi-Palmer/
Doctor Lanre,/Doctor-Lanre-Okey-Uzoeshi/dp/B09JHN3Q61/ref=sr_1_1597?qid=1692082486&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1597,2021|CC,2021.0,Doctor_Lanre,44_Doctor_Lanre,/Doctor-Lanre-Okey-Uzoeshi/,/Doctor-Lanre-Okey-Uzoeshi/
Darienne Lake: Altered Boy,/Darienne-Lake-Altered-Boy/dp/B0B64KLJGQ/ref=sr_1_1599?qid=1692082486&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1599,2023|CC,2023.0,Darienne_Lake_Altered_Boy,46_Darienne_Lake_Altered_Boy,/Darienne-Lake-Altered-Boy/,/Darienne-Lake-Altered-Boy/
Contract Lovers,/Contract-Lovers-Franko-Marcano/dp/B0943NTBC9/ref=sr_1_1604?qid=1692082488&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1604,2021|CC,2021.0,Contract_Lovers,51_Contract_Lovers,/Contract-Lovers-Franko-Marcano/,/Contract-Lovers-Franko-Marcano/
Octopus Pot,/Octopus-Pot-Mykel-Shannon-Jenkins/dp/B09RTVCR5V/ref=sr_1_1609?qid=1692082488&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_feature_three_browse-bin%3A52030197011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1609,2022|CC,2022.0,Octopus_Pot,56_Octopus_Pot,/Octopus-Pot-Mykel-Shannon-Jenkins/,/Octopus-Pot-Mykel-Shannon-Jenkins/
