title,link,tags,year,clean_title,file,short_url,clean_short_url
Legally Blonde,/Legally-Blonde-Reese-Witherspoon/dp/B009EU5DE0/ref=sr_1_1?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-1,2001|PG-13|CC,2001.0,Legally_Blonde,0_Legally_Blonde,/Legally-Blonde-Reese-Witherspoon/,/Legally-Blonde-Reese-Witherspoon/
Gladiator,/Gladiator-4K-UHD-Russell-Crowe/dp/B07RH7M74B/ref=sr_1_2?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-2,2000|R|CC,2000.0,Gladiator,1_Gladiator,/Gladiator-4K-UHD-Russell-Crowe/,/Gladiator-4K-UHD-Russell-Crowe/
Men in Black,/Men-Black-Tommy-Lee-Jones/dp/B0094LV1D6/ref=sr_1_3?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-3,1997|PG-13|CC,1997.0,Men_in_Black,2_Men_in_Black,/Men-Black-Tommy-Lee-Jones/,/Men-Black-Tommy-Lee-Jones/
Inglourious Basterds,/Inglourious-Basterds-Brad-Pitt/dp/B002YCVWXQ/ref=sr_1_4?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-4,2009|R|CC,2009.0,Inglourious_Basterds,3_Inglourious_Basterds,/Inglourious-Basterds-Brad-Pitt/,/Inglourious-Basterds-Brad-Pitt/
Happy Gilmore,/Happy-Gilmore-Adam-Sandler/dp/B009CG9P1S/ref=sr_1_5?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-5,1996|PG-13|CC,1996.0,Happy_Gilmore,4_Happy_Gilmore,/Happy-Gilmore-Adam-Sandler/,/Happy-Gilmore-Adam-Sandler/
The Shawshank Redemption,/Shawshank-Redemption-Tim-Robbins/dp/B001XUJNJ0/ref=sr_1_6?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-6,1994|R|CC,1994.0,The_Shawshank_Redemption,5_The_Shawshank_Redemption,/Shawshank-Redemption-Tim-Robbins/,/Shawshank-Redemption-Tim-Robbins/
Saving Private Ryan,/Saving-Private-Ryan-4K-UHD/dp/B07RHZ7SFL/ref=sr_1_7?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-7,1998|CC,1998.0,Saving_Private_Ryan,6_Saving_Private_Ryan,/Saving-Private-Ryan-4K-UHD/,/Saving-Private-Ryan-4K-UHD/
No Country for Old Men,/Country-Old-Men-Tommy-Jones/dp/B008Y70E4S/ref=sr_1_8?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-8,2007|CC,2007.0,No_Country_for_Old_Men,7_No_Country_for_Old_Men,/Country-Old-Men-Tommy-Jones/,/Country-Old-Men-Tommy-Jones/
Men in Black II,/Men-Black-II-Will-Smith/dp/B009NOGSQE/ref=sr_1_9?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-9,2002|PG-13|CC,2002.0,Men_in_Black_II,8_Men_in_Black_II,/Men-Black-II-Will-Smith/,/Men-Black-II-Will-Smith/
The 40 Year-Old Virgin,/40-Year-Old-Virgin-Steve-Carell/dp/B000I3SPLK/ref=sr_1_10?qid=1691154684&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651256011%7C2651257011%7C2651258011%7C2651259011%7C2651260011%7C2651261011&rnid=2651254011&s=instant-video&sr=1-10,2005|R|CC,2005.0,The_40_YearOld_Virgin,9_The_40_YearOld_Virgin,/40-Year-Old-Virgin-Steve-Carell/,/40-Year-Old-Virgin-Steve-Carell/
