title,link,tags,year,clean_title,fname,short_url,clean_short_url
Rio,/Rio-Jesse-Eisenberg/dp/B009YMNVMO/ref=sr_1_2?qid=1691311281&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-2,2011|G|CC,2011.0,Rio,1_Rio,/Rio-Jesse-Eisenberg/,/Rio-Jesse-Eisenberg/
Hacksaw Ridge,/Hacksaw-Ridge-Andrew-Garfield/dp/B01MPWV2J2/ref=sr_1_15?qid=1691311281&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-15,2016|CC,2016.0,Hacksaw_Ridge,14_Hacksaw_Ridge,/Hacksaw-Ridge-Andrew-Garfield/,/Hacksaw-Ridge-Andrew-Garfield/
The Imitation Game,/Imitation-Game-Benedict-Cumberbatch/dp/B00R7FRTWI/ref=sr_1_149?qid=1691311297&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-149,2014|PG-13|CC,2014.0,The_Imitation_Game,20_The_Imitation_Game,/Imitation-Game-Benedict-Cumberbatch/,/Imitation-Game-Benedict-Cumberbatch/
Backtrace (en),/Backtrace-en-Sylvester-Stallone/dp/B0C9VHZKHL/ref=sr_1_153?qid=1691311297&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-153,2018|R|CC,2018.0,Backtrace_en,24_Backtrace_en,/Backtrace-en-Sylvester-Stallone/,/Backtrace-en-Sylvester-Stallone/
Texas Killing Fields,/Texas-Killing-Fields-Sam-Worthington/dp/B008W02ACG/ref=sr_1_155?qid=1691311297&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-155,2011|R|CC,2011.0,Texas_Killing_Fields,26_Texas_Killing_Fields,/Texas-Killing-Fields-Sam-Worthington/,/Texas-Killing-Fields-Sam-Worthington/
Historically Incorrect,/Alonzo-Bodden-Historically-Incorrect/dp/B07WHVL2S7/ref=sr_1_1616?qid=1691311512&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1616,2016|CC,2016.0,Historically_Incorrect,63_Historically_Incorrect,/Alonzo-Bodden-Historically-Incorrect/,/Alonzo-Bodden-Historically-Incorrect/
Chosen & Taken,/Elon-Gold-Chosen-Taken/dp/B07MVTDR9G/ref=sr_1_1632?qid=1691311517&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1632,2014|CC,2014.0,Chosen__Taken,79_Chosen__Taken,/Elon-Gold-Chosen-Taken/,/Elon-Gold-Chosen-Taken/
Presents The Bad Girls of Comedy,/Snoop-Dogg-Presents-Girls-Comedy/dp/B00IF0F4DU/ref=sr_1_1650?qid=1691311523&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1650,2012|R|CC,2012.0,Presents_The_Bad_Girls_of_Comedy,97_Presents_The_Bad_Girls_of_Comedy,/Snoop-Dogg-Presents-Girls-Comedy/,/Snoop-Dogg-Presents-Girls-Comedy/
World's Greatest Stepdad,/Andy-Woodhull-Worlds-Greatest-Stepdad/dp/B09H3NHFBT/ref=sr_1_1652?qid=1691311523&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1652,2017|TV-PG|CC,2017.0,Worlds_Greatest_Stepdad,99_Worlds_Greatest_Stepdad,/Andy-Woodhull-Worlds-Greatest-Stepdad/,/Andy-Woodhull-Worlds-Greatest-Stepdad/
Pacifically Speaking,/Gina-Brillon-Pacifically-Speaking/dp/B087JP9CTP/ref=sr_1_1662?qid=1691311523&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1662,2014|CC,2014.0,Pacifically_Speaking,109_Pacifically_Speaking,/Gina-Brillon-Pacifically-Speaking/,/Gina-Brillon-Pacifically-Speaking/
