file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1006_The_Spectaculars.html,"Ed Lima is an egocentric stand-up comedian who decides to participate in a comic trio contest to escape from prison and make his big return. To this end, he agrees to work with a lunatic, a nerd, and a dreamer. His trio goes to the finals. Will they take the prize in the end? It will depend on what each of us believes what the prize should be.","Comedy,Drama",,,1,IMDb 5.8,1 h 27 min,2020,16+,/gp/video/detail/B08LYGVGZJ/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1013_Dongri_Danger.html,"Dawood, Gangsters, Mayyat and Rahul, these are few of the many things stand-up comedian Sumaira Shaikh talks about in her first stand-up special DONGRI DANGER. Born in the gullies of Mumbai 9, Sumaira's dark observations on what is your rank in your friend's group, how tsunami's are the best relaxation videos and how her father once met Dawood, will leave you in splits and make you uncomfortable.",Comedy,Rated 3.6 out of 5 stars by 11 Amazon customers.,11,1,IMDb 4.9,56min,2022,16+,/gp/video/detail/B09Q2BH23G/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
1032_LA_GORDA_FABIOLA_MODEL_63.html,"Health problems, overweight, children and the age difference in her marital relationship are the raw material for the humor of La Gorda Fabiola. She will share with us the secret behind her good health and her big heart, one of the largest and most resistant in Colombia.",Comedy,Rated 5 out of 5 stars by 1 Amazon customers.,1,1,,45min,2022,16+,/gp/video/detail/B09WXSDQST/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,HDR
1042_Ashish_Shakya__Life_Is_Good.html,"Ashish Shakya aka 'That AIB Guy' aka 'Hai Dear, What A Sexy' presents a comedy special that is at once sharp, goofy, chill, relatable and other ways of saying 'You should watch!'. It won't change your life, but you'll laugh, get some sweet dopamine hits and then go to bed with your someone special. Someone special not provided by comedian. Audiences are requested to make their own arrangements.",Comedy,Rated 3.7 out of 5 stars by 9 Amazon customers.,9,1,IMDb 4.6,54min,2020,18+,/gp/video/detail/B0846CJJS8/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1070_Baggy_in__as_KungFu_Bonda_A_Mostly_English_Stand_Up_Comedy_Special.html,"Baggy takes you on a hilarious journey about growing older, the changes it brings and coming to terms with it. His observations on adulting, parents, marriage, sex and grill gates will leave you in splits, while his anecdotal stories will keep you gripped through the show. Guaranteed to leave you laughing, content and hopefully a little more at peace with your own life's developments.","Comedy,Arts, Entertainment, and Culture",Rated 2.9 out of 5 stars by 10 Amazon customers.,10,1,IMDb 5.4,1 h 17 min,2020,16+,/gp/video/detail/B0877TMV6K/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
1095_Naveen_Richard_Relatively_Relatable.html,"Fridges, birthday parties and cockroach baba cults. In his latest special, Naveen Richard brings together some tasty observational comedy that has proven to be relatable 9 out of 12 times.","Comedy,Arts, Entertainment, and Culture,International",Rated 4 out of 5 stars by 30 Amazon customers.,30,1,IMDb 7.0,56min,2020,R,/gp/video/detail/B086182MYV/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1121_Thalaivii_Kannada.html,Thalaivi is the dramatic story of a woman who has risen from humiliation and political defeat. Challenging the male dominated culture of Tamil Nadu politics to become the Chief Minster of the state. The movies describes the different shades of her life starting from her childhood till she became the Chief Minister for the first time in 1991.,"International,Drama",Rated 4.3 out of 5 stars by 89 Amazon customers.,89,1,IMDb 5.9,2 h 30 min,2021,13+,/gp/video/detail/B09HWRJ8PT/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1122_Muddy_Malayalam.html,Muddy portrays the rivalry between two blood ties named Muthu and Karthy. This combines three unique mud races where a new villain Tony comes in between. Will the three of them be able to defeat each other and who will win the final race is the rest of the story.,"Sports,Suspense,International",Rated 3.3 out of 5 stars by 9 Amazon customers.,9,1,IMDb 6.1,2 h 7 min,2021,13+,/gp/video/detail/B09QF1XZXW/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1126_No_Loss_No_Gain.html,"An unnamed idealist seeking justice for a massive banking scandal seizes a suburban bank. Caught in the vigilante's web are ordinary people faced with an opportunity to make millions - if they go along with his mysterious ""Robin Hood"" plan.",Suspense,Rated 3 out of 5 stars by 30 Amazon customers.,30,1,IMDb 3.8,1 h 38 min,2021,16+,/gp/video/detail/B096VW36NF/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1182_Federico_Cyrulnik__Signos.html,"A genuine, vertiginous, and beautifully melodic special with surprises around every corner, in true Fede Cyrulnik style.","Comedy,Arts, Entertainment, and Culture",,,1,IMDb 4.5,55min,2022,16+,/gp/video/detail/B0B6D4S6RV/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1211_IBWTP.html,Jide and Hauwa Pedro accidentally run over a teenage girl while having a lover's spat on their way from an event. Jide refuses Hauwa's request of taking the girl to a hospital having thought of the doom that awaits his political career and family name.,Drama,,,1,,1 h 29 min,2023,13+,/gp/video/detail/B0B65GHFDY/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1234_New_Years_Special.html,"Ingrid Guimaraes and Lazaro Ramos hit the ground running on Prime Video. The two Brazilian stars are joined by Juliette, Tia Ma, Luana Martau, Lindsay Paulino, Pablo Sanabio and other special guests to talk about CHANGE with a lot of humor and irony. In a sequence of comic sketches, they reflect on struggles and lessons that brought us all to 2023.",Comedy,,,1,IMDb 8.7,57min,2023,18+,/gp/video/detail/B0B8RHCNGF/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
1240_Dario_Orsi__Me_Quiero_Quejar.html,"Comedian Dario Orsi presents his last stand-up show where, as he whines, he gives us a glimpse into his worldview and what he thinks happiness is about.","Comedy,Arts, Entertainment, and Culture",,,1,IMDb 5.9,51min,2022,16+,/gp/video/detail/B0B6D5JJM9/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1264_Red_White__Royal_Blue.html,"Based on the New York Times bestseller, Red, White & Royal Blue centers around Alex, the president's son, and Britain's Prince Henry whose long-running feud threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.","Comedy,Drama,Young Adult Audience,Romance",Rated 4.7 out of 5 stars by 991 Amazon customers.,991,1,IMDb 7.3,2 h 1 min,2023,R,/gp/video/detail/B0BYSXBQCZ/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,HDR
1265_Adipurush.html,"Raghav, Ayodhya's exiled prince, embarks on a quest to rescue his wife Janaki with the help of a monkey army, from the clutches of Lanka's ten-headed demon king Raavan.","Drama,Fantasy,Adventure,Action",Rated 2.5 out of 5 stars by 14 Amazon customers.,14,1,IMDb 3.2,2 h 58 min,2023,ALL,/gp/video/detail/B0CBFXMW1F/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1267_Maaveeran_Tamil.html,"Sathya, a cowardly cartoonist suddenly finds his life narrated by a godly voice, which only he could hear. Everything happens in his life as and how the narrator narrates. Will Sathya overcome his cowardliness to become the Hero, like he actually wrote in the comic book, or will he yield just like he did all his life? This movie is also available as Mahaveerudu in Telugu and Maaveeran in Hindi","Suspense,Comedy,Drama,Action",Rated 4.6 out of 5 stars by 6 Amazon customers.,6,1,IMDb 7.5,2 h 41 min,2023,13+,/gp/video/detail/B0C9TXDMDS/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
1279_Walk_With_Me.html,"As Amber  braves life after divorce, the young mother must challenge herself to take some personal risks after finding love in an unexpected place. ""Walk with Me"" addresses the many aspects of what it means to be a woman - motherhood, marriage, family, career, sexuality - and deftly explores how to balance them.","Drama,Romance,LGBTQ",Rated 4.4 out of 5 stars by 134 Amazon customers.,134,1,IMDb 5.7,1 h 52 min,2022,16+,/gp/video/detail/B0B8TGP49B/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
