file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,hdr-badge,uhd-badge
1019_Heart_of_Gold.html,"Shot over the span of two nights at Ryman Auditorium in Nashville, this in-depth look into Neil Young's 2005 concert combines intimate interviews with Young himself and the premieres of various songs from Young's acclaimed album, 'Prairie Wind.'","Documentary,Music Videos and Concerts",Rated 4.7 out of 5 stars by 1039 Amazon customers.,"1,039",1,IMDb 7.7,1 h 43 min,2006,PG,/gp/video/detail/B000L9GOL4/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1041_Along_Came_Jones.html,"Gary Cooper (1952's ""High Noon"") gives a marvelous, tongue-in-cheek performance as a fumble-fingered cowpoke who is mistaken for a notorious bandit and almost gets killed by both sides of the law   all while managing to capture the attention of Loretta Young. William Demarest co-stars as Cooper's trusty sidekick and Dan Duryea plays the villainous Monte Jarred for whom Cooper is mistaken.","Comedy,Western",Rated 4.4 out of 5 stars by 182 Amazon customers.,182,1,IMDb 6.4,1 h 30 min,1945,16+,/gp/video/detail/B001NUFWUY/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1046_The_Couch_Trip.html,"A mental patient sent to jail for computer fraud cons his way into a mental facility for men, where he takes over the psychiatric practice of a million-dollar-a-year shrink who is about to have a breakdown.",Comedy,Rated 4.4 out of 5 stars by 136 Amazon customers.,136,1,IMDb 5.8,1 h 38 min,1988,R,/gp/video/detail/B08DTVZBN7/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1083_Win_a_Date_with_Tad_Hamilton.html,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.","Comedy,Romance",Rated 4.5 out of 5 stars by 813 Amazon customers.,813,1,IMDb 5.6,1 h 36 min,2004,PG-13,/gp/video/detail/B00EX0462Q/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1085_The_Making_Of_A_Night_At_The_Opera_Classic_Album.html,"'A Night At The Opera' was one of the most expensive, expansive and creative albums of its time and it confirmed Queen as a global rock phenomenon. It was their  'Sgt. Pepper', the album that propelled them into rock and roll history, and is a truly classic album.","Documentary,Music Videos and Concerts",Rated 4.5 out of 5 stars by 5 Amazon customers.,5,1,IMDb 8.4,49min,2002,13+,/gp/video/detail/B09FRHMQZX/ref=atv_dp_atf_prime_sd_mv_resume_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1245_Khartoum.html,"This exhilarating military spectacle, highlighted by powerful performances from Laurence Olivier and Charlton Heston, chronicles Britain's 1883 crisis in the Sudan and the siege of Khartoum.","Drama,Historical",Rated 4.6 out of 5 stars by 1427 Amazon customers.,"1,427",1,IMDb 6.8,2 h 16 min,1966,18+,/gp/video/detail/B00HVMMQR0/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1257_Saw_II.html,A detective and his team must rescue eight people trapped in a factory by the twisted serial killer known as Jigsaw.,"Suspense,Horror",Rated 4.5 out of 5 stars by 3118 Amazon customers.,"3,118",1,IMDb 6.6,1 h 32 min,2005,R,/gp/video/detail/B000QCM9OM/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1331_Within_Our_Gates.html,A woman's past comes back to haunt her.,"Drama,Romance",Rated 4.1 out of 5 stars by 61 Amazon customers.,61,1,IMDb 6.4,1 h 19 min,1920,16+,/gp/video/detail/B01C6D1CS2/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1433_Saw_III.html,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky individual through a brutal test.,"Suspense,Horror",Rated 4.5 out of 5 stars by 2527 Amazon customers.,"2,527",1,IMDb 6.2,1 h 48 min,2006,R,/gp/video/detail/B000N38DYY/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1436_Chinatown.html,"Private detective J.J. Gittes is hired to investigate and expose a common case of adultery. The investigation becomes increasingly more complicated as he becomes immersed in a world of lies, deceit, dishonesty, and murder.","Suspense,Drama",Rated 4.6 out of 5 stars by 4629 Amazon customers.,"4,629",1,IMDb 8.2,2 h 5 min,1974,R,/gp/video/detail/B000HZM4FW/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,HDR,UHD
151_Shake_Hands_With_the_Devil.html,Based on a book by Romeo Dallaire.,"Drama,Historical,Military and War",Rated 4.5 out of 5 stars by 132 Amazon customers.,132,1,IMDb 7.6,1 h 52 min,2007,R,/gp/video/detail/B09PV5RWDZ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1604_Ace_Ventura_Pet_Detective.html,"Zany private detective Ace Ventura, who specializes in recovering lost animals, takes on a case to find the Miami Dolphins' missing mascot. When the team's star player is kidnapped, Ace must close in on the culprits in time for the Super Bowl.",Comedy,Rated 4.7 out of 5 stars by 8815 Amazon customers.,"8,815",1,IMDb 6.9,1 h 25 min,1994,13+,/gp/video/detail/B07623P47X/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
