file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,x-ray-badge,hdr-badge,uhd-badge,rating-badge,link
0_My_Fault.html,"Noah must leave her town, boyfriend and friends to move into her mom's new husband's mansion. There, she meets her new stepbrother Nick and their personalities clash from the very beginning. But the attraction they feel will lead them to live a forbidden relationship, where their rebellious and tormented tempers will turn their worlds upside down, making them fall madly in love.","Drama,Young Adult Audience",Rated 4.7 out of 5 stars by 788 Amazon customers.,788,1,IMDb 6.3,1 h 57 min,2023.0,X-Ray,HDR,UHD,16+,/gp/video/detail/B0B683GB78/ref=atv_dp_atf_prime_sd_mv_resume_t1ADAAAAAA0wr0?autoplay=1&t=0
1000_On_The_Trail_of_UFOS_Dark_Sky.html,"On the Trail of UFOs: Dark Sky traces decades of reports of mysterious objects, creatures and enigmatic beings seemingly not of this earth. Tracking reports around the state of West Virginia, the film retraces steps taken in some previous STM films while expanding upon those same topics.",Documentary,Rated 3.7 out of 5 stars by 407 Amazon customers.,407,1,IMDb 5.7,1 h 25 min,2021.0,X-Ray,,,13+,/gp/video/detail/B09BKF2WGQ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1001_Student_Of_The_Year.html,"Introducing Alia Bhatt (Sharanya Singhania), Siddharth Malhotra (Abhimanyu Singh) and Varun Dhawan (Rohan Nanda) in their first movie debut. The plot revolves around the students of St. Theresa College who visit their gravely ill dean (Rishi Kapoor) after ten years and reminisce the past with mixed emotions about the annual competition (Student of the year) that put an end to their friendships.","Comedy,Sports,Romance",Rated 3.7 out of 5 stars by 60 Amazon customers.,60,1,IMDb 5.2,2 h 25 min,2012.0,X-Ray,,,13+,/gp/video/detail/B0BZTD87WK/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
1005_The_Badge_The_Bible_and_Bigfoot.html,"In a small coastal town Bigfoot is sighted, and children go missing. The town's Police Chief is fired, leaving only the Sheriff. When the Sheriff goes missing, the town's only hope is in Chief Harrison to battle the beast. He finds himself without his weapons and must go hand to hand with Bigfoot. Will his strength in God and training be enough to save the children?","Science Fiction,Suspense",Rated 2.8 out of 5 stars by 69 Amazon customers.,69,1,IMDb 1.8,1 h 6 min,2019.0,X-Ray,,,7+,/gp/video/detail/B09JMYV8D2/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1008_Winter_Ridge.html,"Young detective Ryan Barnes, torn apart after the personal tragedy of his wife ending up in a coma, attempts to track down a serial killer who appears to be strategically targeting the vulnerable and elderly.","Drama,International",Rated 3.2 out of 5 stars by 37 Amazon customers.,37,1,IMDb 4.3,1 h 26 min,2018.0,X-Ray,,,16+,/gp/video/detail/B07FDPV4NZ/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
1009_Sharknado_5_Global_Swarming.html,"With much of North America lying in ruins, the rest of the world braces for the inevitable: a global sharknado. From London to Asia, South Africa to Mexico, Fin and his family must put a stop to the sharknados once and for all.","Action,Comedy",Rated 4.6 out of 5 stars by 730 Amazon customers.,730,1,IMDb 3.9,1 h 25 min,2017.0,X-Ray,,,13+,/gp/video/detail/B07MGJBHXP/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
1010_Christmas_BreakIn.html,"Christmas Break-In is the story of Izzy, a spunky nine year-old who gets left at school on the last day before Christmas break.  While her parents brave a blizzard to reach her, three bumbling crooks break into the school to hide out until the heat dies down.  But when they take the school janitor hostage, Izzy will have to find a way to save him and teach the crooks a lesson.","Comedy,Kids",Rated 4.3 out of 5 stars by 192 Amazon customers.,192,1,IMDb 4.5,1 h 26 min,2019.0,X-Ray,,,7+,/gp/video/detail/B07W87SD23/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1013_Flesh_and_Bone.html,"A man and a woman meet by chance and form a relationship that develops into more than just a friendship, never realizing they share a deadly secret from the past.","Suspense,Drama",Rated 4.1 out of 5 stars by 257 Amazon customers.,257,1,IMDb 6.2,2 h 6 min,1993.0,X-Ray,,,16+,/gp/video/detail/B00DUTSSJI/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
1014_Assassination.html,"Snipers. Marksmen. Hired Guns. Double Agents. A group of exiled rebels are planning a hit on an Army Commander in Japanese-occupied Korea, but the only killer for the job is in prison. Now, the Resistance must devise a  jailbreak, escape a hitman...and discover which of them is a traitor.","International,Action",Rated 4.6 out of 5 stars by 239 Amazon customers.,239,1,IMDb 7.2,2 h 20 min,2015.0,X-Ray,,,16+,/gp/video/detail/B09H5R471B/ref=atv_dp_atf_prime_sd_mv_play_t1A3EAAAAAewr0?autoplay=1&t=0
1016_Secrets_in_the_Water.html,A grieving mother enlists the help of her deceased daughter’s friend to track down her killer and wonders if the killer is someone close to home.,"Suspense,Drama",Rated 2.9 out of 5 stars by 18 Amazon customers.,18,1,IMDb 4.8,1 h 26 min,2021.0,X-Ray,,,16+,/gp/video/detail/B09FYMG1X3/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
