file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1003_Exit_Humanity.html,A young man's struggle to survive in the aftermath of a deadly undead outbreak during the American Civil War.,"Drama,Suspense",Rated 3.7 out of 5 stars by 360 Amazon customers.,360,1,IMDb 5.2,1 h 53 min,2011,18+,/gp/video/detail/B081ZG7SDM/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1008_RX100.html,"The protagonist Shiva who is stubborn and bold meets a tragic end waiting for his ex-girlfriend to return to the village even though she has been married for 3 years. Indu, ex-girlfriend hires paid killers as she was never in love with him.","Drama,International",Rated 3.9 out of 5 stars by 54 Amazon customers.,54,1,IMDb 6.9,2 h 28 min,2018,18+,/gp/video/detail/B08KWQKW8Z/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1013_MOM_BEHIND_THE_WHEEL.html,A young mother must work as a taxi driver while her sick husband is in charge of the house chores.,Comedy,Rated 5 out of 5 stars by 1 Amazon customers.,1,1,IMDb 3.1,1 h 28 min,2019,7+,/gp/video/detail/B08LYC693B/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1021_Silent_But_Deadly_Extended_Edition.html,"All New Extended Edition! Before Kevin nearly died backstage from his widely reported massive heart attack, he killed onstage discussing his marriage, his kid, his friends and his work (or lack thereof).","Arts, Entertainment, and Culture",Rated 4.6 out of 5 stars by 303 Amazon customers.,303,1,,1 h 24 min,2018,18+,/gp/video/detail/B07MXRVFTL/ref=atv_dp_atf_prime_sd_mv_resume_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1030_Railroad_Tigers.html,"In this action-comedy caper harkening back to Jackie Chan's classic Hong Kong films, a railroad worker (Chan) and his ragtag group of freedom fighters find themselves on the wrong side of the tracks when they decide to ambush a heavily armed military train filled with desperately needed provisions.","Action,Comedy,Adventure",Rated 4.1 out of 5 stars by 421 Amazon customers.,421,1,IMDb 5.7,2 h 4 min,2017,PG-13,/gp/video/detail/B09KT6ZZ58/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1039_The_Legend_of_Halloween_Jack.html,"On Halloween night, a serial killer returns from the dead to take revenge on the vigilantes who put him to death one year earlier.","Horror,Suspense",Rated 3 out of 5 stars by 101 Amazon customers.,101,1,IMDb 3.4,1 h 23 min,2018,18+,/gp/video/detail/B07KNXBRQL/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1052_Zero_Days.html,HD. Alex Gibney directed this documentary about Stuxnet--a self-replicating computer malware that has opened a Pandora's box of cyber-warfare.,Documentary,Rated 4.5 out of 5 stars by 744 Amazon customers.,744,1,IMDb 7.7,1 h 53 min,2016,PG-13,/gp/video/detail/B01I2EKYTC/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1057_Nawabzaade.html,"Three best friends fall in love with the same girl and fight among themselves to win her affections. But, they soon realize that their beloved is much more than her exterior of a simple girl.","Comedy,International",Rated 2.5 out of 5 stars by 6 Amazon customers.,6,1,IMDb 4.2,1 h 49 min,2018,13+,/gp/video/detail/B08KWN8R2L/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1065_Supremacy.html,"Based on a true story, Supremacy follows a high-ranking white supremacist who, within 24 hours of being released from prison, finds himself on the run after murdering a cop. In an attempt to hide from the police, he and his accomplice find themselves seeking refuge in a home owned by a black family, taking them hostage.","Suspense,Drama",Rated 4.2 out of 5 stars by 226 Amazon customers.,226,1,IMDb 5.7,1 h 50 min,2014,R,/gp/video/detail/B07B88Y1WG/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1090_Money_Shot.html,"Money Shot finds Cummings riffing on a wide range of topics chiefly, the differences between men and women and how both tend to behave in relationships.","Comedy,Arts, Entertainment, and Culture",Rated 4.2 out of 5 stars by 219 Amazon customers.,219,1,IMDb 6.2,48min,2010,18+,/gp/video/detail/B07PRYSSPL/ref=atv_dp_atf_prime_sd_mv_resume_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1112_Pull.html,"Mickey, Charles, and Kyle are three private investigators that specialize in missing persons cases. Mickey and her team get in way over their heads when they cross a serial killer who has three very nasty pets that have a taste for human flesh. The team must do what they can to stay alive and to save the killer's next prey before its to late.","Suspense,Horror",Rated 2.9 out of 5 stars by 22 Amazon customers.,22,1,IMDb 2.9,1 h 47 min,2019,16+,/gp/video/detail/B07MNTL21P/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1132_The_Golem.html,"During an outbreak of a deadly plague, a young woman, Hanna, must save her tight-knit Jewish community from invaders. Turning to Jewish mysticism, she conjures a dangerous entity to protect her and her people. However, the powerful creature she summons may be far more evil than anything she could have ever imagined.","Horror,Drama",Rated 4.1 out of 5 stars by 347 Amazon customers.,347,1,IMDb 5.5,1 h 34 min,2019,16+,/gp/video/detail/B07MM7TGDV/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1135_The_March_Sisters_at_Christmas.html,"To keep the family home from being sold, 4 very modern March sisters tackle home improvement on their own. But their romantic entanglements involving the boy next door, an old flame and a new acquaintance become a distraction.","Comedy,Romance",Rated 3.6 out of 5 stars by 91 Amazon customers.,91,1,IMDb 5.4,1 h 30 min,2012,PG-13,/gp/video/detail/B00ALQT8G0/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1152_Santa_Girl.html,"Santa Claus' only daughter wants to experience the ""real world"" before she must marry the son of Jack Frost and take over the family business. Cassie Claus sets off to college while trying to keep her famous father a secret.","Comedy,Romance",Rated 4.3 out of 5 stars by 127 Amazon customers.,127,1,IMDb 5.0,1 h 30 min,2019,PG-13,/gp/video/detail/B07VDKZ7Z2/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1163_Like_Blood.html,"Cliff is the leader and brains of an enterprise, which he runs with his two best friends, Hughes and Frank. At this point, the business has taken a toll on Cliff and he wants to get out, but that is not financially possible. Cliff's friend Stephanie convinces Cliff to exploit her husband, but the task gets complicated and takes a dangerous, dark turn, putting everyone's life in jeopardy.","Suspense,Drama",Rated 4.1 out of 5 stars by 24 Amazon customers.,24,1,IMDb 5.4,1 h 20 min,2019,18+,/gp/video/detail/B07WDRCRVF/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1213_The_Ghazi_Attack_Hindi.html,"Inspired by true events, The Ghazi Attack is India's first underwater war film. The story revolves around the events that unfolded right before the Indo-Pakistan war of 1971, when the Pakistani Submarine Ghazi (Asia's most powerful fast-attack submarine at the time) attempted to destroy the Indian aircraft carrier Vikrant.","Action,International",Rated 4.1 out of 5 stars by 113 Amazon customers.,113,1,IMDb 7.5,2 h 2 min,2017,13+,/gp/video/detail/B095J3HWRM/ref=atv_dp_atf_prime_sd_mv_resume_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1214_Aadai.html,A free-spirited girl gets the shock of her life when she finds herself without any clothes in an abandoned building after a late-night party.,"Suspense,Drama",Rated 2.8 out of 5 stars by 36 Amazon customers.,36,1,IMDb 6.2,2 h 7 min,2019,18+,/gp/video/detail/B08KWMM1DC/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1219_Avas_Possessions.html,A young woman recovers from a demonic possession.,"Comedy,Suspense",Rated 4.2 out of 5 stars by 130 Amazon customers.,130,1,IMDb 5.6,1 h 28 min,2016,R,/gp/video/detail/B01CDTZO24/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1248_Fed_Up.html,"Fed Up blows the lid off everything we thought we knew about food and exercise, revealing a 30-year campaign by the food industry-aided by the U.S. government-to mislead and confuse the American public.",Documentary,Rated 4.5 out of 5 stars by 3102 Amazon customers.,"3,102",1,IMDb 7.7,1 h 35 min,2014,PG,/gp/video/detail/B00MRHFA72/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1249_Everly.html,"An intense action thriller centered on a down-on-her-luck woman (Salma Hayek) trapped in her apartment, forced to fend off waves of assassins sent by her former lover - a dangerous mob boss who wants her dead after he learns she no longer is loyal to him. Desperate to be reunited with her mother and young daughter, she fights to stay alive fending off Yakuza assassin soldiers.","Suspense,Action",Rated 4.3 out of 5 stars by 1197 Amazon customers.,"1,197",1,IMDb 5.1,1 h 32 min,2015,R,/gp/video/detail/B00SML9WMG/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1256_Noble_Ape.html,"Jim Gaffigan has made a career out of finding the extraordinary in the ordinary with his hilarious observational style. In his 6th special, he uses humor to deal with the unthinkable & proves that laughter is the best medicine - or is it?","Comedy,Arts, Entertainment, and Culture",Rated 4.4 out of 5 stars by 703 Amazon customers.,703,1,IMDb 7.6,1 h 7 min,2018,13+,/gp/video/detail/B07LC36J1Z/ref=atv_dp_atf_prime_sd_mv_resume_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1288_Lucky.html,"Having out-lived and out-smoked all of his contemporaries, the cantankerous, fiercely independent and self-reliant 90-year-old atheist Lucky finds himself at the precipice of life, thrust into a journey of self-exploration, leading towards that which is so often unattainable: enlightenment.","Comedy,Drama",Rated 4.3 out of 5 stars by 811 Amazon customers.,811,1,IMDb 7.3,1 h 28 min,2017,18+,/gp/video/detail/B075XCC4JL/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
