file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,x-ray-badge,hdr-badge,uhd-badge,rating-badge,link
1265_12_Days_with_God.html,One man has two major surgeries to remove a large cancerous growth behind his eye. But in order to remove they will have to open up his head. Complications lead doctors to fear the worst leaving him no choice but to trust in God for a miracle.,Drama,Rated 4 out of 5 stars by 38 Amazon customers.,38,1,IMDb 5.7,1 h 17 min,2022.0,X-Ray,,,13+,/gp/video/detail/B0B15MFDXF/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1278_Bonhoeffer_Agent_of_Grace.html,"The story of Dietrich Bonhoeffer, a German clergyman of great distinction, who actively opposed Hitler and the Nazis. His convictions cost him his life.","Action,Drama",Rated 4.4 out of 5 stars by 525 Amazon customers.,525,1,IMDb 6.3,1 h 25 min,2022.0,X-Ray,,,16+,/gp/video/detail/B0B8LQXWSZ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1311_Raabta.html,A woman crosses paths with her reincarnated lover from a previous lifetime.,"Suspense,Comedy",Rated 4 out of 5 stars by 129 Amazon customers.,129,1,IMDb 4.7,2 h 24 min,2017.0,X-Ray,,,13+,/gp/video/detail/B073WLHQTL/ref=atv_dp_atf_prime_sd_mv_play_t1ADEAAAAA4wr0?autoplay=1&t=0
1332_Is_It_Just_Me.html,"A witty, feel-good romantic comedy about a sexually frustrated young man, his hunky go-go-boy roommate, and the man he meets online. Romance turns to chaos when a case of mistaken identity upsets his chance for true love.","Comedy,Romance",Rated 4.4 out of 5 stars by 440 Amazon customers.,440,1,IMDb 6.2,1 h 33 min,2021.0,X-Ray,,,16+,/gp/video/detail/B09PHSZ4P9/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1403_Cosmoball.html,"Life on earth is desolate after a brutal intergalactic war, brightened only by the dangerous, high-flying sport Cosmoball...but no one knows that at each match, four gifted humans are actually fighting to save humanity","Science Fiction,Sports",Rated 3.9 out of 5 stars by 1188 Amazon customers.,"1,188",1,IMDb 4.7,1 h 58 min,2021.0,X-Ray,,,7+,/gp/video/detail/B08X7KMQ42/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
1613_Georgetown.html,"Christoph Waltz, Vanessa Redgrave and Annette Bening star in the thrilling true story of a smooth-talking social climber scaling the ranks in D.C., who comes under investigation when his wealthy, well-connected older wife turns up dead in their home.","Drama,Suspense",Rated 3.9 out of 5 stars by 3085 Amazon customers.,"3,085",1,IMDb 6.2,1 h 39 min,2021.0,X-Ray,,,R,/gp/video/detail/B094L5Z5VF/ref=atv_dp_atf_prime_sd_mv_play_t1B3EAAAAA1wr0?autoplay=1&t=0
1995_Habitual.html,"Hardcore ravers take a hell-bent trip to an underground rave party, ""The Habit,"" being held at an abandoned lunatic asylum. The night morphs into chaotic hallucinations-the spiral into horrifying nightmares, with The Blight edging to take their life.",Horror,Rated 3.3 out of 5 stars by 276 Amazon customers.,276,1,IMDb 3.5,1 h 30 min,2022.0,X-Ray,,,18+,/gp/video/detail/B0B8TBF572/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
201_Baby_Boy.html,"Ten years after the release of the seminal ""Boyz N the Hood,"" acclaimed director John Singleton returns to the same inner-city L.A. neighborhood for the story of a misguided 20-year-old African-American man, a ""baby boy"" facing the commitments of real life.","Suspense,Drama",Rated 4.7 out of 5 stars by 6588 Amazon customers.,"6,588",1,IMDb 6.4,2 h 9 min,2001.0,X-Ray,,,R,/gp/video/detail/B001DIMV78/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
202_Failure_to_Launch.html,"Matthew McConaughey is Tripp, a 35 year-old who still lives with his parents. Desperate to get him out of the house, his parents hire a gorgeous woman, Paula, to give him a little-push.","Comedy,Drama",Rated 4.6 out of 5 stars by 2730 Amazon customers.,"2,730",1,IMDb 5.6,1 h 36 min,2006.0,X-Ray,,,13+,/gp/video/detail/B007R0XHVK/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
214_Ink.html,"Father and daughter are thrust into a fantastical dream-world battle between forces of good and evil in this allegorical tale of love, loss, and the search for redemption.","Science Fiction,Fantasy,Action",Rated 4.3 out of 5 stars by 213 Amazon customers.,213,1,IMDb 6.8,1 h 46 min,2022.0,X-Ray,,,16+,/gp/video/detail/B0B6T4BN4W/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
