file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1000_Chai_Kahani.html,"Chai Kahani Is the story of a passionate writer who gets a dream from past six months. He believes that the story in the dream is trying to communicate with him, one fine day he receives a flyer, which has a different promotional advertisement, writer visits to that cafe to talk to the person and there he finds the complete story. Now what is the story??","Drama,Romance",,,1,IMDb 8.3,54min,2021,16+,/gp/video/detail/B091MMFGND/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,,,
1001_Into_the_Waves.html,"Two brothers hitch hike across Tasmania to get to their mother's funeral. As they journey, they must decide whether they will keep the family together or let it break apart.",Drama,Rated 4 out of 5 stars by 1 Amazon customers.,1,1,IMDb 6.3,1 h 12 min,2020,18+,/gp/video/detail/B099GVFWQ3/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1002_Buddy_Goes_to_Nollywood.html,"An out of work British actor and entertainer is at a crossroads in his career. He decides to seeks his fortune in one of the largest but least known movie industries in the world, Nollywood, Nigeria. This unplanned and unexpected adventure leads Buddy to reflect on past tragedies and to make peace with himself.","Documentary,International",,,1,IMDb 8.3,1 h 21 min,2020,13+,/gp/video/detail/B0B5JR9Q2W/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,,,
1003_Chinnanjiru_Kiliye.html,A naturopathy practitioner with a strong distrust of allopathic treatments goes after the kidnappers of his daughter and expose a medical crime.dr,"Romance,Drama",Rated 3.3 out of 5 stars by 6 Amazon customers.,6,1,IMDb 8.2,2h,2021,13+,/gp/video/detail/B09HZPV84F/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1004_Give_Up_The_Ghost.html,"Give Up The Ghost follows a man on his death bed as he relives memories of a past relationship and struggles with his own life choices. As he moves through the consequences of his life choices, he deals with regret and the possibilities of what could've been. All while coming to terms with his future fate.","Drama,Romance",Rated 4 out of 5 stars by 1 Amazon customers.,1,1,IMDb 5.9,1 h 17 min,2021,16+,/gp/video/detail/B09DTGV5YF/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1005_The_Book_of_Job.html,"One Sunday mass, Job Dugan falls madly in love with the new girl at school, but quickly discovers that she's already dating the captain of the football team. Job decides to mimic her boyfriend to try and win her over.","Comedy,Drama",Rated 4.4 out of 5 stars by 6 Amazon customers.,6,1,IMDb 5.5,1 h 30 min,2021,13+,/gp/video/detail/B08XBB6GVN/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1006_The_Spectaculars.html,"Ed Lima is an egocentric stand-up comedian who decides to participate in a comic trio contest to escape from prison and make his big return. To this end, he agrees to work with a lunatic, a nerd, and a dreamer. His trio goes to the finals. Will they take the prize in the end? It will depend on what each of us believes what the prize should be.","Comedy,Drama",,,1,IMDb 5.8,1 h 27 min,2020,16+,/gp/video/detail/B08LYGVGZJ/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1007_Screwdriver.html,"After a new part store opens in town that sends him out of business, the former town handyman takes revenge on the new owner's son and all of his out of town friends.",Horror,Rated 1 out of 5 stars by 1 Amazon customers.,1,1,IMDb 3.6,1 h 6 min,2021,16+,/gp/video/detail/B098CXP9M4/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1008_Die_Grenze.html,"Nerdy tax official Eva is fired for giving speeches about a fairer tax system in the park. An Internet video of this goes viral, jeopardizing a planned mega-merger. As a result, corporate leaders are desperate to stop Eva's popularity so they can continue to grow without limits.","Comedy,Drama",Rated 1 out of 5 stars by 1 Amazon customers.,1,1,IMDb 6.2,1 h 49 min,2021,16+,/gp/video/detail/B09JS79YZH/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1009_Transcendental_Layover.html,"Brian, a stand-up comedian whose life is spinning out of control, has to deal with kidnap, then escapes and had to search for his would-be murderer who has ordered the kidnap... Will he find the man who wants him dead or just more of his inner demons?",Suspense,Rated 3.6 out of 5 stars by 6 Amazon customers.,6,1,IMDb 5.9,1 h 21 min,2020,18+,/gp/video/detail/B09JBPCVSB/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1010_Indha_Nilai_Maarum.html,"A Business Fight between Young Entrepreneurs who start an Internet Radio Station, and A Magazine Publishing Corporate. The Internet Radio station hosts a Talk show on Marriage and Matrimony which kindles crazy thoughts among the public.","Comedy,Drama,Romance",,,1,,1 h 40 min,2020,13+,/gp/video/detail/B096DBD7N6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1011_Otra_forma_de_entender_la_vida.html,A documentary that goes over a historical year for Atletico Madrid until they became the champions of La Liga.,"Sports,Documentary",Rated 4.4 out of 5 stars by 16 Amazon customers.,16,1,,1 h 9 min,2021,PG-13,/gp/video/detail/B09FKTHWCR/ref=atv_dp_atf_prime_sd_mv_play_t1ACAAAAAA0wr0?autoplay=1&t=0,,UHD,
1012_Prayanikudu.html,"When human race started on this earth, they killed animals for survival but now out of ego and greed they are killing humans for survival"" There are two kinds of people in the world ""powerful"" and ""weak"", once violence begins there is no end to it. How can one give an end to the violence which he's created in the process of his survival?","Drama,Action",Rated 3.8 out of 5 stars by 20 Amazon customers.,20,1,IMDb 6.6,2 h 12 min,2021,13+,/gp/video/detail/B092L7Y7CD/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,,,
1013_Dongri_Danger.html,"Dawood, Gangsters, Mayyat and Rahul, these are few of the many things stand-up comedian Sumaira Shaikh talks about in her first stand-up special DONGRI DANGER. Born in the gullies of Mumbai 9, Sumaira's dark observations on what is your rank in your friend's group, how tsunami's are the best relaxation videos and how her father once met Dawood, will leave you in splits and make you uncomfortable.",Comedy,Rated 3.6 out of 5 stars by 11 Amazon customers.,11,1,IMDb 4.9,56min,2022,16+,/gp/video/detail/B09Q2BH23G/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
1014_Cinemavala.html,"This is a story of two individuals, Karthik & ria. Karthik was very passionate about films and trying hard to make that his carrier. ria who loves Karthik & left her house with him & supports Karthik in every single step to reach his oral. ria is the only person in this world who believes Karthik's dream. but at a point in time ria loses hope & asks Karthik to leave films.","Suspense,Drama",Rated 5 out of 5 stars by 1 Amazon customers.,1,1,IMDb 6.0,45min,2021,13+,/gp/video/detail/B094NMBZ96/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
