file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,hdr-badge,uhd-badge
1000_Back_Page.html,"Peggy Shannon plays a young female reporter who is fired from a big city newspaper, then decides to take over a troubled small town newsppaer. She encounters difficulties with small town politics, getting advertisers to help keep the paper afloat, and issues with 1930's feminism in the resistance she receives from the town's residents in her abilities to run the newspaper. An insightful story of a woman's determination to succeed in an era long before the women's rights movement.",Drama,Rated 4.4 out of 5 stars by 4 Amazon customers.,4,1,IMDb 6.0,1 h 2 min,1934,18+,/gp/video/detail/B000SART5Q/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1002_Honeymoon_Limited.html,"Discouraged and unsuccessful writer Dick Gordon (Hamilton) concocts a plan to earn money and get publicity by walking from New York to San Francisco in six months, then writing a book on his experiences. Along the way, a horrible storm forces Dick to take refuge in what he believes to be a deserted, remote cabin. However, he finds a runaway and her two sisters also hiding out there. But all are placed in danger when the cabin's owner shows up, along with his gangster pals, to retrieve their stolen money, which is hidden in the cabin. Never one to miss an opportunity, Dick is ecstatic to finally find an exciting true story worth writing about, but will he survive long enough to pen his book?","Comedy,Drama,Adventure,Romance",Rated 4 out of 5 stars by 8 Amazon customers.,8,1,IMDb 5.6,1 h 12 min,1935,13+,/gp/video/detail/B001J4E458/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1003_Salt_Of_The_Earth.html,"Mexican workers at a Zinc mine call a general strike. It is only through the solidarity of the workers, and importantly the indomitable resolve of their wives, mothers, and daughters, that they eventually triumph.",Drama,Rated 4.4 out of 5 stars by 155 Amazon customers.,155,1,IMDb 7.4,1 h 32 min,1954,7+,/gp/video/detail/B097YDCDPJ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1004_Amazing_Mr_X.html,"On the beach one night, Christine Faber thinks she hears her late husband Paul calling out of the surf...then meets a tall dark man, Alexis, who knows about such things. After more ghostly manifestations, Christine and her sister become enmeshed in the eerie artifices of Alexis; but he in turn finds himself manipulated into deeper deviltry than he had in mind...","Suspense,Horror",Rated 4.2 out of 5 stars by 63 Amazon customers.,63,1,IMDb 6.4,1 h 16 min,1948,16+,/gp/video/detail/B075JRP2WW/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1005_The_Diamond_Arm.html,An ordinary Soviet citizen accidentally intervenes into a huge operation of international criminal group that trades illegally obtained jewelry.,"Comedy,Drama,Adventure,Action",Rated 3.9 out of 5 stars by 38 Amazon customers.,38,1,IMDb 8.3,1 h 34 min,1968,13+,/gp/video/detail/B09DTMZFJ3/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1006_A_Monkeys_Tale.html,"Two monkey tribes are divided by centuries of fear and prejudice. When curious teenager Kom plummets from his home, his family consider him lost forever. Below, however, his life is spared, and he soon becomes the King's favourite - which angers the Chancellor, who plans seize power for himself. Kom and loyal maid, Gina, uncover the plot, plan to reunite the two tribes and save the day.","Animation,Adventure,Special Interest",Rated 4.8 out of 5 stars by 21 Amazon customers.,21,1,IMDb 5.7,1 h 15 min,2000,13+,/gp/video/detail/B09HSSZNCX/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1007_Imperial_Venus.html,"This re-imagined biopic of the adult life of Paolina (Paulette), the sister of Napoleon Bonaparte. She is portrayed as a willful, yet impulsive woman, through her marriages and scandals, through the heights and depths of Napoleon's life.","Drama,Romance",Rated 3.3 out of 5 stars by 34 Amazon customers.,34,1,IMDb 5.2,2 h 1 min,1962,13+,/gp/video/detail/B0999FRM7V/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1008_Toto_Eva_e_il_pennello_proibito.html,"The crooks Eva (Abbe Lane) and Raoul (Mario Carotenuto), devise a scam, The plan consists in ing the copyist Antonio Scorcelletti (Toto) paint La Maja Desnuda, adding a nightgown to the latter. In this way, thanks to the complacency of the unsuspecting professor Francisco Montiel (Luis De Funes), they will try to pass off the Maja in a shirt as an unpublished work by Goya...",Comedy,Rated 4.8 out of 5 stars by 10 Amazon customers.,10,1,IMDb 6.0,1 h 38 min,1987,13+,/gp/video/detail/B09HLZLDZF/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1009_Pattiyal.html,"Two best friends Kosi and Selvam are contract killers who are given targets by Sami. They fall in love, but their profession becomes a hurdle and the two cannot lead normal lives.","Suspense,Drama",,,1,IMDb 7.3,2 h 8 min,2006,16+,/gp/video/detail/B09L6GRM57/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
100_The_Baader_Meinhof_Komplex.html,"A look at Germany's terrorist group, The Red Army Faction (RAF), which organized bombings, robberies, kidnappings, and assassinations in the late 1960s and '70s.","Suspense,Drama,Historical,Action",,,1,IMDb 7.3,2 h 29 min,2008,R,/gp/video/detail/B0CBJGYL85/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
