file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1002_Fix_Us.html,"Fix Us tells a story of three young ladies who take on a journey of faith and fate. When Nadie, Chioma and Jaya run into each other at an audition, they are bound by their common dream to be movie stars and form a friendship that can hardly be broken.","Comedy,Drama",,,1,IMDb 7.8,1 h 45 min,2019,16+,/gp/video/detail/B09V9ZL4CJ/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,,,
1003_Exit_Humanity.html,A young man's struggle to survive in the aftermath of a deadly undead outbreak during the American Civil War.,"Drama,Suspense",Rated 3.7 out of 5 stars by 360 Amazon customers.,360,1,IMDb 5.2,1 h 53 min,2011,18+,/gp/video/detail/B081ZG7SDM/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1008_RX100.html,"The protagonist Shiva who is stubborn and bold meets a tragic end waiting for his ex-girlfriend to return to the village even though she has been married for 3 years. Indu, ex-girlfriend hires paid killers as she was never in love with him.","Drama,International",Rated 3.9 out of 5 stars by 54 Amazon customers.,54,1,IMDb 6.9,2 h 28 min,2018,18+,/gp/video/detail/B08KWQKW8Z/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1010_Banjara__The_Truck_Driver.html,"Binder a Punjabi trucker, educated, good personality and runs a whole fleet of trucks in Punjab. Binder on returning from a tour finds Kiran, the girl he is in love with has been sent by her parents to Canada to get married. Binder sells his business and moves to Canada to look for Kiran, The rest goes on with how life turns after reaching Canada and how he meets Simi.","Comedy,Action,Drama",Rated 2.5 out of 5 stars by 8 Amazon customers.,8,1,IMDb 3.6,2 h 10 min,2018,13+,/gp/video/detail/B07MDWQCFY/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,,,
1013_MOM_BEHIND_THE_WHEEL.html,A young mother must work as a taxi driver while her sick husband is in charge of the house chores.,Comedy,Rated 5 out of 5 stars by 1 Amazon customers.,1,1,IMDb 3.1,1 h 28 min,2019,7+,/gp/video/detail/B08LYC693B/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1018_Tooken.html,Tooken - The spoof on the popular Taken franchise.,"Comedy,Action",Rated 3.5 out of 5 stars by 79 Amazon customers.,79,1,IMDb 3.6,1 h 20 min,2015,R,/gp/video/detail/B00WPF31OU/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1021_Silent_But_Deadly_Extended_Edition.html,"All New Extended Edition! Before Kevin nearly died backstage from his widely reported massive heart attack, he killed onstage discussing his marriage, his kid, his friends and his work (or lack thereof).","Arts, Entertainment, and Culture",Rated 4.6 out of 5 stars by 303 Amazon customers.,303,1,,1 h 24 min,2018,18+,/gp/video/detail/B07MXRVFTL/ref=atv_dp_atf_prime_sd_mv_resume_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1022_Christmas_in_New_York_A.html,"In the vein of Love Actually, the story follows six different couples in a posh Manhattan hotel over the course of one night just before Christmas.","Drama,Romance,Adventure",Rated 2.6 out of 5 stars by 31 Amazon customers.,31,1,IMDb 4.6,1 h 29 min,2017,18+,/gp/video/detail/B07687JK7G/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1027_Single_Black_Female.html,Marina Franklin returns to her Chicago roots to celebrate and unpack what it means to be 'woke' in these confusing and tumultuous times. Franklin offers us a hilarious yet honest glimpse into the challenges of navigating America's complex blah blah blah.. oh yeah and dating.,"Arts, Entertainment, and Culture",Rated 4.3 out of 5 stars by 81 Amazon customers.,81,1,,58min,2019,18+,/gp/video/detail/B07RB39D6X/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1030_Railroad_Tigers.html,"In this action-comedy caper harkening back to Jackie Chan's classic Hong Kong films, a railroad worker (Chan) and his ragtag group of freedom fighters find themselves on the wrong side of the tracks when they decide to ambush a heavily armed military train filled with desperately needed provisions.","Action,Comedy,Adventure",Rated 4.1 out of 5 stars by 421 Amazon customers.,421,1,IMDb 5.7,2 h 4 min,2017,PG-13,/gp/video/detail/B09KT6ZZ58/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
