file,title,entityType,runtimeSeconds,synopsis,rating_count,rating,en_type,en_url,sdh_sub_lang,url,dir
0_My_Fault,My Fault,Movie,7056.0,"Noah must leave her town, boyfriend and friends to move into her mom's new husband's mansion. There, she meets her new stepbrother Nick and their personalities clash from the very beginning. But the attraction they feel will lead them to live a forbidden relationship, where their rebellious and tormented tempers will turn their worlds upside down, making them fall madly in love.",817.0,4.7,subtitle,https://cf-timedtext.aux.pv-cdn.net/6d68/fe19/4bf2/4cac-ba92-55fd57f34d55/926f0ed6-2d61-426e-a817-286ced2f1c3f.ttml2,es-es,https://cf-timedtext.aux.pv-cdn.net/bdaf/38e0/817f/49fe-bde0-76974fcea52d/3f577486-eca6-4aa4-9eae-fa5a3d2848a1.ttml2,com
1000_On_The_Trail_of_UFOS_Dark_Sky,On The Trail of UFOS: Dark Sky,Movie,5123.0,"On the Trail of UFOs: Dark Sky traces decades of reports of mysterious objects, creatures and enigmatic beings seemingly not of this earth. Tracking reports around the state of West Virginia, the film retraces steps taken in some previous STM films while expanding upon those same topics.",408.0,3.7,sdh,https://cf-timedtext.aux.pv-cdn.net/463a/c028/e611/4109-816f-4ad124b8e80b/cd407c17-94ec-41b8-95a4-1ba38ec6468c.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/463a/c028/e611/4109-816f-4ad124b8e80b/cd407c17-94ec-41b8-95a4-1ba38ec6468c.ttml2,com
1001_Student_Of_The_Year,Student Of The Year,Movie,8722.0,"Introducing Alia Bhatt (Sharanya Singhania), Siddharth Malhotra (Abhimanyu Singh) and Varun Dhawan (Rohan Nanda) in their first movie debut. The plot revolves around the students of St. Theresa College who visit their gravely ill dean (Rishi Kapoor) after ten years and reminisce the past with mixed emotions about the annual competition (Student of the year) that put an end to their friendships.",60.0,3.7,subtitle,https://cf-timedtext.aux.pv-cdn.net/8a5a/ab97/705d/441a-905b-4723fff29c35/a263fc24-aebb-4d08-b368-05179b902d46.ttml2,,,com
1005_The_Badge_The_Bible_and_Bigfoot,"The Badge, The Bible and Bigfoot",Movie,3971.0,"In a small coastal town Bigfoot is sighted, and children go missing. The town's Police Chief is fired, leaving only the Sheriff. When the Sheriff goes missing, the town's only hope is in Chief Harrison to battle the beast. He finds himself without his weapons and must go hand to hand with Bigfoot. Will his strength in God and training be enough to save the children?",69.0,2.8,sdh,https://cf-timedtext.aux.pv-cdn.net/ff4c/7b1e/82cb/40fb-aa06-f5e7756e1082/232eb4fd-8d5c-4b05-81e9-ff54d6d90882.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/ff4c/7b1e/82cb/40fb-aa06-f5e7756e1082/232eb4fd-8d5c-4b05-81e9-ff54d6d90882.ttml2,com
1009_Sharknado_5_Global_Swarming,Sharknado 5: Global Swarming,Movie,5159.0,"With much of North America lying in ruins, the rest of the world braces for the inevitable: a global sharknado. From London to Asia, South Africa to Mexico, Fin and his family must put a stop to the sharknados once and for all.",731.0,4.6,sdh,https://cf-timedtext.aux.pv-cdn.net/5d3d/ebe2/eaad/4b33-bc54-78b829142ece/196cfcae-b540-42d4-8697-0e7068e40cb9.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/5d3d/ebe2/eaad/4b33-bc54-78b829142ece/196cfcae-b540-42d4-8697-0e7068e40cb9.ttml2,com
1010_Christmas_BreakIn,Christmas Break-In,Movie,5197.0,"Christmas Break-In is the story of Izzy, a spunky nine year-old who gets left at school on the last day before Christmas break.  While her parents brave a blizzard to reach her, three bumbling crooks break into the school to hide out until the heat dies down.  But when they take the school janitor hostage, Izzy will have to find a way to save him and teach the crooks a lesson.",192.0,4.3,sdh,https://cf-timedtext.aux.pv-cdn.net/e95c/5fe2/5c0e/4feb-b81a-e743a62ee4d6/6cab8666-f87e-45fe-b31f-94d6b57d9108.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/e95c/5fe2/5c0e/4feb-b81a-e743a62ee4d6/6cab8666-f87e-45fe-b31f-94d6b57d9108.ttml2,com
1013_Flesh_and_Bone,Flesh and Bone,Movie,7574.0,"A man and a woman meet by chance and form a relationship that develops into more than just a friendship, never realizing they share a deadly secret from the past.",257.0,4.1,sdh,https://cf-timedtext.aux.pv-cdn.net/52e1/9f25/1498/4d30-b337-7e0ce1932a43/41db2f7f-1ad0-4ce9-b2cc-28c97c85f0be.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/52e1/9f25/1498/4d30-b337-7e0ce1932a43/41db2f7f-1ad0-4ce9-b2cc-28c97c85f0be.ttml2,com
1014_Assassination,Assassination,Movie,8406.0,"Snipers. Marksmen. Hired Guns. Double Agents. A group of exiled rebels are planning a hit on an Army Commander in Japanese-occupied Korea, but the only killer for the job is in prison. Now, the Resistance must devise a  jailbreak, escape a hitman...and discover which of them is a traitor.",240.0,4.6,sdh,https://cf-timedtext.aux.pv-cdn.net/3c3b/85ea/3400/41c5-827e-d6509ee771ae/a30a07f9-da3c-4453-8d00-1aefed033788.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/3c3b/85ea/3400/41c5-827e-d6509ee771ae/a30a07f9-da3c-4453-8d00-1aefed033788.ttml2,com
1016_Secrets_in_the_Water,Secrets in the Water,Movie,5171.0,A grieving mother enlists the help of her deceased daughterâ€™s friend to track down her killer and wonders if the killer is someone close to home.,18.0,2.9,sdh,https://cf-timedtext.aux.pv-cdn.net/9ef2/ca88/4472/4302-ba3a-bd65575d127d/a7d72bb8-37a8-4084-8fd7-fce1751d09aa.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/9ef2/ca88/4472/4302-ba3a-bd65575d127d/a7d72bb8-37a8-4084-8fd7-fce1751d09aa.ttml2,com
1017_Dripping_In_Chocolate,Dripping In Chocolate,Movie,5547.0,"Juliana Lovece is busy working in her boutique chocolate shop on a wet, miserable night in Sydney when a vicious murder is perpetrated just outside her door. Then, Homicide Detective Bennett OMara enters Juliana's world with questions. Why was a girl with no identification found strangled to death with fairy lights, with the only clue a chocolate wrapper from Juliana's shop found in her pocket?",80.0,3.6,,,en-au,https://cf-timedtext.aux.pv-cdn.net/c741/f200/dc2b/4e53-963b-16dc1a86b19f/74367bb1-7207-474e-a143-02299ded7e7c.ttml2,com
1019_Poltergeist_III,Poltergeist III,Movie,5856.0,"12 year-old Carol Anne is sent to live with relatives in a Chicago hi-rise in order to hide from the Beast but during a therapy session, a psychiatrist inadvertently resurrects the malevolent Reverend Kane.",1249.0,4.4,caption,https://cf-timedtext.aux.pv-cdn.net/9f4b/b2f8/1950/4b2f-ab62-3397a76776d9/078ae9d1-e534-4642-a179-04a1abfb7825.dfxp,,,com
101_The_Pilgrims_Progress,The Pilgrim's Progress,Movie,7062.0,"The Pilgrim's Progress was written over 340 years ago by John Bunyan when he was in prison. The story has been smuggled to the underground church during communism, banned for a time in China, and has sold more copies than any other book other than the Bible. The journey of this remarkable work continues as Revelation Media brings the story to a new generation using state-of-the-art CGI animation.",4508.0,4.7,sdh,https://cf-timedtext.aux.pv-cdn.net/474b/f03e/d35b/4274-8fc7-2a4c2c11c2c9/40e5f909-698f-4750-8ed8-5989bac01fc9.ttml2,en-us,https://cf-timedtext.aux.pv-cdn.net/474b/f03e/d35b/4274-8fc7-2a4c2c11c2c9/40e5f909-698f-4750-8ed8-5989bac01fc9.ttml2,com
