Film,Year,Awards,Nominations,Win
Oppenheimer,2023,7,13,True
Poor Things,2023,4,11,False
The Zone of Interest,2023,2,5,False
American Fiction,2023,1,5,False
Anatomy of a Fall,2023,1,5,False
Barbie,2023,1,8,False
The Boy and the Heron,2023,1,1,False
Godzilla Minus One,2023,1,1,False
The Holdovers,2023,1,5,False
The Last Repair Shop,2023,1,1,False
20 Days in Mariupol,2023,1,1,False
War Is Over! Inspired by the Music of John and Yoko,2023,1,1,False
The Wonderful Story of Henry Sugar,2023,1,1,False
Everything Everywhere All at Once,2022,7,11,True
All Quiet on the Western Front,2022,4,9,False
The Whale,2022,2,3,False
Top Gun: Maverick,2022,1,6,False
Black Panther: Wakanda Forever,2022,1,5,False
Avatar: The Way of Water,2022,1,4,False
Women Talking,2022,1,2,False
Guillermo del Toro's Pinocchio,2022,1,1,False
Navalny,2022,1,1,False
The Elephant Whisperers,2022,1,1,False
An Irish Goodbye,2022,1,1,False
"The Boy, the Mole, the Fox and the Horse",2022,1,1,False
RRR,2022,1,1,False
CODA,2021,3,3,True
Dune,2021,6,10,False
The Eyes of Tammy Faye,2021,2,2,False
No Time to Die,2021,1,3,False
The Windshield Wiper,2021,1,1,False
The Long Goodbye,2021,1,1,False
The Queen of Basketball,2021,1,1,False
Summer of Soul,2021,1,1,False
Drive My Car,2021,1,4,False
Encanto,2021,1,3,False
West Side Story,2021,1,7,False
Belfast,2021,1,7,False
The Power of the Dog,2021,1,12,False
King Richard,2021,1,6,False
Cruella,2021,1,2,False
Nomadland,2020/21,3,6,True
The Father,2020/21,2,6,False
Judas and the Black Messiah,2020/21,2,6,False
Minari,2020/21,1,6,False
Mank,2020/21,2,10,False
Sound of Metal,2020/21,2,6,False
Ma Rainey's Black Bottom,2020/21,2,5,False
Promising Young Woman,2020/21,1,5,False
Tenet,2020/21,1,2,False
Soul,2020/21,2,3,False
Another Round,2020/21,1,2,False
My Octopus Teacher,2020/21,1,1,False
Colette,2020/21,1,1,False
If Anything Happens I Love You,2020/21,1,1,False
Two Distant Strangers,2020/21,1,1,False
Parasite,2019,4,6,True
Ford v Ferrari,2019,2,4,False
Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1,False
The Neighbors' Window,2019,1,1,False
Little Women,2019,1,6,False
Marriage Story,2019,1,6,False
Jojo Rabbit,2019,1,6,False
Toy Story 4,2019,1,2,False
Joker,2019,2,11,False
Once Upon a Time in Hollywood,2019,2,10,False
1917,2019,3,10,False
Judy,2019,1,2,False
Bombshell,2019,1,3,False
Rocketman,2019,1,1,False
American Factory,2019,1,1,False
Hair Love,2019,1,1,False
Green Book,2018,3,5,True
Bohemian Rhapsody,2018,4,5,False
Roma,2018,3,10,False
Black Panther,2018,3,7,False
The Favourite,2018,1,10,False
A Star Is Born,2018,1,8,False
Vice,2018,1,8,False
BlacKkKlansman,2018,1,6,False
First Man,2018,1,4,False
If Beale Street Could Talk,2018,1,3,False
Bao,2018,1,1,False
Free Solo,2018,1,1,False
Period. End of Sentence.,2018,1,1,False
Skin,2018,1,1,False
Spider-Man: Into the Spider-Verse,2018,1,1,False
The Shape of Water,2017,4,13,True
Dunkirk,2017,3,8,False
"Three Billboards Outside Ebbing, Missouri",2017,2,7,False
Darkest Hour,2017,2,6,False
Blade Runner 2049,2017,2,5,False
Coco,2017,2,2,False
Phantom Thread,2017,1,6,False
Call Me by Your Name,2017,1,4,False
Get Out,2017,1,4,False
"I, Tonya",2017,1,3,False
Dear Basketball,2017,1,1,False
A Fantastic Woman,2017,1,1,False
Heaven Is a Traffic Jam on the 405,2017,1,1,False
Icarus,2017,1,1,False
The Silent Child,2017,1,1,False
Flesh and Sand (Carne y arena),2017,0 (1)[1],0,False
Moonlight,2016,3,8,True
La La Land,2016,6,14,False
Hacksaw Ridge,2016,2,6,False
Manchester by the Sea,2016,2,6,False
Arrival,2016,1,8,False
Fences,2016,1,4,False
Fantastic Beasts and Where to Find Them,2016,1,2,False
The Jungle Book,2016,1,1,False
O.J.: Made in America,2016,1,1,False
Piper,2016,1,1,False
The Salesman,2016,1,1,False
Sing,2016,1,1,False
Suicide Squad,2016,1,1,False
The White Helmets,2016,1,1,False
Zootopia,2016,1,1,False
Spotlight,2015,2,6,True
Mad Max: Fury Road,2015,6,10,False
The Revenant,2015,3,12,False
Bridge of Spies,2015,1,6,False
The Big Short,2015,1,5,False
The Danish Girl,2015,1,4,False
Room,2015,1,4,False
The Hateful Eight,2015,1,3,False
Ex Machina,2015,1,2,False
Inside Out,2015,1,2,False
Amy,2015,1,1,False
Bear Story,2015,1,1,False
A Girl in the River: The Price of Forgiveness,2015,1,1,False
Son of Saul,2015,1,1,False
Spectre,2015,1,1,False
Stutterer,2015,1,1,False
Birdman or (The Unexpected Virtue of Ignorance),2014,4,9,True
The Grand Budapest Hotel,2014,4,9,False
Whiplash,2014,3,5,False
The Imitation Game,2014,1,8,False
American Sniper,2014,1,6,False
Boyhood,2014,1,6,False
Interstellar,2014,1,5,False
The Theory of Everything,2014,1,5,False
Ida,2014,1,2,False
Selma,2014,1,2,False
Citizenfour,2014,1,1,False
Big Hero 6,2014,1,1,False
Crisis Hotline: Veterans Press 1,2014,1,1,False
The Phone Call,2014,1,1,False
