g-spine,g-img,g-title,g-director,g-country,g-year,link
799,,The Kid,Charles Chaplin,"United States,",1921,https://www.criterion.com/films/27566-the-kid
579,,The Phantom Carriage,Victor Sjöström,"Sweden,",1921,https://www.criterion.com/films/27630-the-phantom-carriage
134,,Häxan,Benjamin Christensen,"Denmark,",1922,https://www.criterion.com/films/352-haxan
33,,Nanook of the North,Robert Flaherty,"United States,",1922,https://www.criterion.com/films/574-nanook-of-the-north
662,,Safety Last!,Fred Newmeyer and Sam Taylor,"United States,",1923,https://www.criterion.com/films/28446-safety-last
706,,Master of the House,Carl Th. Dreyer,"Denmark,",1925,https://www.criterion.com/films/27804-master-of-the-house
,,The Mystic,Tod Browning,"United States,",1925,https://www.criterion.com/films/33989-the-mystic
703,,The Freshman,Sam Taylor and Fred Newmeyer,"United States,",1925,https://www.criterion.com/films/28510-the-freshman
371,,Body and Soul,Oscar Micheaux,"United States,",1925,https://www.criterion.com/films/809-body-and-soul
885,,The Lodger: A Story of the London Fog,Alfred Hitchcock,"United Kingdom,",1927,https://www.criterion.com/films/28001-the-lodger-a-story-of-the-london-fog
529,,Underworld,Josef von Sternberg,"United States,",1927,https://www.criterion.com/films/21766-underworld
266,,The King of Kings,Cecil B. DeMille,"United States,",1927,https://www.criterion.com/films/949-the-king-of-kings
964,,The Kid Brother,Ted Wilde,"United States,",1927,https://www.criterion.com/films/28499-the-kid-brother
,,The Unknown,Tod Browning,"United States,",1927,https://www.criterion.com/films/31173-the-unknown
623,,Lonesome,Paul Fejos,"United States,",1928,https://www.criterion.com/films/28212-lonesome
531,,The Docks of New York,Josef von Sternberg,"United States,",1928,https://www.criterion.com/films/1942-the-docks-of-new-york
1033,,The Cameraman,Edward Sedgwick,"United States,",1928,https://www.criterion.com/films/29011-the-cameraman
996,,The Circus,Charles Chaplin,"United States,",1928,https://www.criterion.com/films/27563-the-circus
62,,The Passion of Joan of Arc,Carl Th. Dreyer,"France,",1928,https://www.criterion.com/films/228-the-passion-of-joan-of-arc
788,,Speedy,Ted Wilde,"United States,",1928,https://www.criterion.com/films/28497-speedy
530,,The Last Command,Josef von Sternberg,"United States,",1928,https://www.criterion.com/films/6721-the-last-command
