Movie Title,decade,id
Intolerance,1910s,tt0006864
The Birth of a Nation,1910s,tt0004972
Cabiria,1910s,tt0003740
Behind the Screen,1910s,tt0006414
The Gardener,1910s,tt0002544
Ingeborg Holm,1910s,tt0003014
The Cheat,1910s,tt0005078
A Man There Was,1910s,tt0008663
The Outlaw and His Wife,1910s,tt0008879
J'accuse!,1910s,tt0010307
Ingmarssönerna,1910s,tt0010298
Sir Arne's Treasure,1910s,tt0010247
Balgaran e galant,1910s,tt0249383
After Death,1910s,tt0005916
The Cameraman's Revenge,1910s,tt0001527
The Immigrant,1910s,tt0008133
A Dog's Life,1910s,tt0009018
Les vampires,1910s,tt0006206
Shoulder Arms,1910s,tt0009611
The Champion,1910s,tt0005074
The Tramp,1910s,tt0006177
The Rink,1910s,tt0007264
Easy Street,1910s,tt0007880
The Adventurer,1910s,tt0007613
The Vagabond,1910s,tt0007507
"20,000 Leagues Under the Sea",1910s,tt0006333
Frankenstein,1910s,tt0001223
True Heart Susie,1910s,tt0010806
The Pawnshop,1910s,tt0007162
The Doll,1910s,tt0010600
The Cure,1910s,tt0007832
One A.M.,1910s,tt0007145
The Sinking of the 'Lusitania',1910s,tt0009620
Broken Blossoms or the Yellow Man and the Girl,1910s,tt0009968
Gertie the Dinosaur,1910s,tt0004008
Blind Husbands,1910s,tt0009937
By the Sea,1910s,tt0005044
The Spiders - Episode 1: The Golden Sea,1910s,tt0010726
The Floorwalker,1910s,tt0006689
Dante's Inferno,1910s,tt0002130
Fantômas: In the Shadow of the Guillotine,1910s,tt0002844
The Blue Bird,1910s,tt0008891
Sunnyside,1910s,tt0010747
The Bank,1910s,tt0004936
Tillie's Punctured Romance,1910s,tt0004707
Fantomas: The Man in Black,1910s,tt0003037
The Insects' Christmas,1910s,tt0384484
"Good Night, Nurse!",1910s,tt0009123
Coney Island,1910s,tt0007819
Different from the Others,1910s,tt0009878
Making a Living,1910s,tt0004288
A Woman,1910s,tt0006309
The Musketeers of Pig Alley,1910s,tt0002381
The Regeneration,1910s,tt0005960
His Musical Career,1910s,tt0004100
The Butcher Boy,1910s,tt0007761
Falling Leaves,1910s,tt0210675
The Rough House,1910s,tt0008523
Bumping Into Broadway,1910s,tt0009973
The Hoodlum,1910s,tt0010267
Shanghaied,1910s,tt0006032
The Fireman,1910s,tt0006684
The Coward,1910s,tt0005149
The Oyster Princess,1910s,tt0009893
Just Neighbors,1910s,tt0010321
Alice in Wonderland,1910s,tt0004873
A Night in the Show,1910s,tt0005812
Tarzan of the Apes,1910s,tt0009682
Rebecca of Sunnybrook Farm,1910s,tt0008499
Hearts and Planets,1910s,tt0005458
Suspense,1910s,tt0003424
The Count,1910s,tt0006548
The Non-Stop Kid,1910s,tt0009434
Male and Female,1910s,tt0010418
Work,1910s,tt0006313
The Cinema Murder,1910s,tt0010008
Police,1910s,tt0007194
A Day's Pleasure,1910s,tt0010057
The Knockout,1910s,tt0004194
Between Showers,1910s,tt0003679
Judex,1910s,tt0006886
A Modern Musketeer,1910s,tt0008309
The Wonderful Wizard of Oz,1910s,tt0001463
Alias Jimmy Valentine,1910s,tt0004872
Fantômas: The Dead Man Who Killed,1910s,tt0003165
"Billy Blazes, Esq.",1910s,tt0009932
A Fair Exchange,1910s,tt0004011
Stella Maris,1910s,tt0009652
The Bell Boy,1910s,tt0008874
The Magic Cloak of Oz,1910s,tt0004286
A Burlesque on Carmen,1910s,tt0005077
The Fatal Mallet,1910s,tt0003934
Dr. Jekyll and Mr. Hyde,1910s,tt0002813
A Fool There Was,1910s,tt0005339
Cinderella,1910s,tt0003772
When the Clouds Roll by,1910s,tt0010879
Kitchener's Great Army in the Battle of the Somme,1910s,tt0006405
Umirayushchiy lebed,1910s,tt0186650
Barney Oldfield's Race for a Life,1910s,tt0002663
The Poor Little Rich Girl,1910s,tt0008443
The Gold Rush,1920s,tt0015864
Metropolis,1920s,tt0017136
Sunrise,1920s,tt0018455
Greed,1920s,tt0015881
The Passion of Joan of Arc,1920s,tt0019254
Man with a Movie Camera,1920s,tt0019760
Nosferatu,1920s,tt0013442
Battleship Potemkin,1920s,tt0015648
The General,1920s,tt0017925
The Kid,1920s,tt0012349
Sherlock Jr.,1920s,tt0015324
Un chien andalou,1920s,tt0020530
Napoleon,1920s,tt0018192
The Big Parade,1920s,tt0015624
The Cabinet of Dr. Caligari,1920s,tt0010323
Wings,1920s,tt0018578
The Navigator,1920s,tt0015163
The Circus,1920s,tt0018773
Safety Last!,1920s,tt0014429
The Last Laugh,1920s,tt0015064
Seven Chances,1920s,tt0016332
Pandora's Box,1920s,tt0018737
Häxan,1920s,tt0013257
7th Heaven,1920s,tt0018379
The Jazz Singer,1920s,tt0018037
"Steamboat Bill, Jr.",1920s,tt0019421
The Man Who Laughs,1920s,tt0019130
The Wind,1920s,tt0019585
The Phantom Carriage,1920s,tt0012364
Our Hospitality,1920s,tt0014341
The Hunchback of Notre Dame,1920s,tt0014142
He Who Gets Slapped,1920s,tt0014972
Faust,1920s,tt0016847
Dr. Jekyll and Mr. Hyde,1920s,tt0011130
The Last Command,1920s,tt0019071
The Lodger: A Story of the London Fog,1920s,tt0017075
The Wedding March,1920s,tt0019558
The Thief of Bagdad,1920s,tt0015400
The Phantom of the Opera,1920s,tt0016220
Street Angel,1920s,tt0019429
Phantom,1920s,tt0013496
The Crowd,1920s,tt0018806
Die Nibelungen: Siegfried,1920s,tt0015175
The Cameraman,1920s,tt0018742
Flesh and the Devil,1920s,tt0016884
The Docks of New York,1920s,tt0018839
Tartuffe,1920s,tt0017448
Queen Kelly,1920s,tt0020298
Helen of Four Gates,1920s,tt0011277
Underworld,1920s,tt0018526
"Dr. Mabuse, the Gambler",1920s,tt0013086
Way Down East,1920s,tt0011841
Why Change Your Wife?,1920s,tt0011865
The Four Horsemen of the Apocalypse,1920s,tt0012190
